Time,calib,upstream,downstream
5856.85,0.598865,0.173021,0.329511
5856.86,0.600818,0.139818,0.317792
5856.87,0.599841,0.104661,0.296308
5856.88,0.600818,0.066575,0.274823
5856.89,0.600818,0.030443,0.242597
5856.9,0.599841,0.005052,0.174237
5856.91,0.601794,-0.01155,0.141034
5856.92,0.600818,-0.052565,0.142011
5856.93,0.601794,-0.131667,0.103925
5856.94,0.599841,-0.183425,0.066815
5856.95,0.601794,-0.220534,0.029706
5856.96,0.598865,-0.253737,-0.006427
5856.97,0.601794,-0.253737,-0.038653
5856.98,0.600818,-0.268386,-0.06795
5856.99,0.600818,-0.279128,-0.096271
5857,0.601794,-0.284987,-0.120685
5857.01,0.600818,-0.282057,-0.146075
5857.02,0.601794,-0.279128,-0.168536
5857.03,0.600818,-0.269362,-0.186114
5857.04,0.601794,-0.260573,-0.204669
5857.05,0.598865,-0.242995,-0.222247
5857.06,0.600818,-0.228347,-0.234942
5857.07,0.600818,-0.209792,-0.240802
5857.08,0.600818,-0.188307,-0.244708
5857.09,0.601794,-0.163893,-0.243731
5857.1,0.600818,-0.135573,-0.238849
5857.11,0.599841,-0.1053,-0.225177
5857.12,0.599841,-0.067214,-0.212481
5857.13,0.601794,-0.029128,-0.193927
5857.14,0.599841,0.016771,-0.170489
5857.15,0.600818,0.057786,-0.146075
5857.16,0.600818,0.108568,-0.117755
5857.17,0.599841,0.154466,-0.090411
5857.18,0.599841,0.202318,-0.061114
5857.19,0.600818,0.24138,-0.028888
5857.2,0.600818,0.273607,0.004315
5857.21,0.600818,0.30388,0.035565
5857.22,0.601794,0.326341,0.067792
5857.23,0.600818,0.343919,0.101972
5857.24,0.599841,0.354661,0.132245
5857.25,0.601794,0.359544,0.162519
5857.26,0.601794,0.359544,0.193769
5857.27,0.600818,0.354661,0.221112
5857.28,0.599841,0.33513,0.246503
5857.29,0.600818,0.304857,0.26994
5857.3,0.600818,0.289232,0.291425
5857.31,0.601794,0.267747,0.312909
5857.32,0.600818,0.247239,0.320722
5857.33,0.601794,0.218919,0.330487
5857.34,0.598865,0.196458,0.334394
5857.35,0.602771,0.166185,0.327558
5857.36,0.600818,0.132005,0.316815
5857.37,0.601794,0.095872,0.298261
5857.38,0.599841,0.061693,0.273847
5857.39,0.602771,0.023607,0.246503
5857.4,0.599841,0.023607,0.193769
5857.41,0.600818,-0.018386,0.149823
5857.42,0.602771,-0.06819,0.142987
5857.43,0.599841,-0.122878,0.103925
5857.44,0.600818,-0.191237,0.062909
5857.45,0.599841,-0.22444,0.026776
5857.46,0.599841,-0.250807,-0.007403
5857.47,0.600818,-0.248854,-0.04256
5857.48,0.600818,-0.269362,-0.071856
5857.49,0.600818,-0.282057,-0.097247
5857.5,0.600818,-0.284987,-0.124591
5857.51,0.601794,-0.284987,-0.149981
5857.52,0.600818,-0.277175,-0.168536
5857.53,0.600818,-0.269362,-0.191974
5857.54,0.600818,-0.25569,-0.212481
5857.55,0.601794,-0.242995,-0.226153
5857.56,0.600818,-0.226393,-0.237872
5857.57,0.600818,-0.206862,-0.245685
5857.58,0.600818,-0.185378,-0.247638
5857.59,0.600818,-0.158034,-0.247638
5857.6,0.600818,-0.129714,-0.244708
5857.61,0.599841,-0.098464,-0.228106
5857.62,0.600818,-0.064284,-0.216388
5857.63,0.600818,-0.022292,-0.196856
5857.64,0.599841,0.018724,-0.174396
5857.65,0.600818,0.065599,-0.149005
5857.66,0.599841,0.112474,-0.118731
5857.67,0.600818,0.158372,-0.091388
5857.68,0.601794,0.205247,-0.060138
5857.69,0.600818,0.245286,-0.026935
5857.7,0.600818,0.282396,0.004315
5857.71,0.601794,0.308763,0.034589
5857.72,0.601794,0.3322,0.068769
5857.73,0.602771,0.346849,0.100995
5857.74,0.600818,0.360521,0.132245
5857.75,0.601794,0.364427,0.164472
5857.76,0.600818,0.362474,0.196698
5857.77,0.602771,0.358568,0.221112
5857.78,0.599841,0.327318,0.248456
5857.79,0.600818,0.307786,0.274823
5857.8,0.601794,0.290208,0.294354
5857.81,0.600818,0.267747,0.309979
5857.82,0.603748,0.246263,0.328534
5857.83,0.599841,0.220872,0.33244
5857.84,0.603748,0.195482,0.334394
5857.85,0.602771,0.163255,0.330487
5857.86,0.599841,0.133958,0.317792
5857.87,0.600818,0.095872,0.300214
5857.88,0.600818,0.080247,0.276776
5857.89,0.601794,0.033372,0.250409
5857.9,0.601794,0.007982,0.206464
5857.91,0.602771,-0.027175,0.141034
5857.92,0.601794,-0.058425,0.146894
5857.93,0.599841,-0.129714,0.108808
5857.94,0.602771,-0.188307,0.067792
5857.95,0.599841,-0.223464,0.029706
5857.96,0.598865,-0.254714,-0.003497
5857.97,0.599841,-0.249831,-0.03963
5857.98,0.601794,-0.270339,-0.069903
5857.99,0.600818,-0.280104,-0.096271
5858,0.600818,-0.285964,-0.122638
5858.01,0.600818,-0.284011,-0.149005
5858.02,0.600818,-0.280104,-0.166583
5858.03,0.600818,-0.269362,-0.188067
5858.04,0.600818,-0.256667,-0.208575
5858.05,0.601794,-0.243972,-0.226153
5858.06,0.600818,-0.225417,-0.235919
5858.07,0.601794,-0.206862,-0.244708
5858.08,0.600818,-0.181472,-0.250567
5858.09,0.602771,-0.159987,-0.249591
5858.1,0.599841,-0.13069,-0.241778
5858.11,0.600818,-0.098464,-0.232013
5858.12,0.600818,-0.063307,-0.219317
5858.13,0.599841,-0.025222,-0.19881
5858.14,0.600818,0.017747,-0.177325
